avg,color
-2.06069367176345,Mariam
-4.244079842119602,Mariam
-1.884766896566924,Mariam
-2.3895534110787766,Mariam
-3.355463142336793,Mariam
-2.5229240083378235,Mariam
-3.0422608744051742,Mariam
-2.3017072477462555,Mariam
-1.0000446423856277,Mariam
-2.058297374108405,Mariam
-5.5535644304683345,Mariam
-4.196040537220103,Mariam
-3.044433857953954,Mariam
-3.392543597735552,Mariam
-2.6133200848539535,Mariam
-1.6988168626789215,Mariam
-1.3065753690623685,Mariam
-1.4037625936181946,Mariam
-0.8792711157320292,Mariam
-2.500165110980682,Mariam
-4.110422090914815,Mariam
-2.8725250402143714,Mariam
-2.4034327514355476,Mariam
-3.040127036432214,Mariam
-2.09395842976303,Mariam
-2.3229529102542292,Mariam
-2.7994821856156884,Mariam
-2.6988993189033312,Mariam
-1.526128306417223,Mariam
-1.6185964562279893,Mariam
-1.8046082560203012,Mariam
-2.8505926084033346,Mariam
-2.3415542980505593,Mariam
-2.4762894545490752,Mariam
-1.133876516664958,Mariam
-1.2961422926692148,Mariam
-1.0792401493488453,Mariam
-1.3910560898402877,Mariam
-3.5760649582621964,Mariam
-1.2756501319908256,Mariam
-0.7670034363956273,Mariam
-2.1175030705118014,Mariam
-0.6704446395385244,Mariam
-3.622763002478391,Mariam
-1.8775746352670857,Mariam
-2.934270931883746,Mariam
-4.067159745294252,Mariam
-3.523746924709259,Mariam
-2.584454124534561,Mariam
-1.5037491971950456,Mariam
1.2015891950497546,Mariam
1.7246287801639462,Mariam
-0.9390518079013385,Mariam
-1.763418055946742,Mariam
-3.6654736897817224,Mariam
-1.8412922648473287,Mariam
-2.105036828977591,Mariam
-2.1054844394067618,Mariam
-1.0284090719951215,Mariam
-1.2784037152571979,Mariam
-3.3950792093888453,Mariam
-1.9023375297948601,Mariam
-2.7703892519573943,Mariam
-3.0432997271547695,Mariam
-1.0337489163392684,Mariam
0.11572649896436867,Mariam
-1.3108526677621175,Mariam
-3.570401149698499,Mariam
-3.941144086280965,Mariam
-6.063558571322529,Mariam
-5.848940083916213,Mariam
-7.171420087637081,Mariam
-3.9368620219152937,Mariam
-0.9465645111986856,Mariam
-3.796352063665291,Mariam
-1.176434143056287,Mariam
-5.86205558410672,Mariam
-3.4138076736973284,Mariam
-3.859788974343003,Mariam
-3.13045568058583,Mariam
-1.4389849357256606,Mariam
-1.4697056213464013,Mariam
-5.363705056480834,Mariam
-3.5277364975956225,Mariam
-8.4684978917552,Mariam
-3.313365042152843,Mariam
-5.508265242542839,Mariam
-4.819146396174082,Mariam
-5.295714512390239,Mariam
-2.8790019587007065,Mariam
-5.657588412910831,Mariam
